기준년월,연령대,시도명,서적문구 평균 소비금액,스포츠 평균 소비금액,영화공연 평균 소비금액,오락 평균 소비금액,총 저축 평균 잔액,총 대출 평균 잔액
202012,60대,세종,21396,71515,16786,31432,21447278,42779045
202012,60대,울산,24183,78217,15097,30795,12500027,7835745
202012,60대,인천,28143,63615,16509,21993,13691742,15233842
202012,60대,전남,24226,88529,16060,28856,9985750,6512975
202012,60대,전북,24648,80291,16740,24031,11889988,7540222
202012,60대,제주,24827,90208,14490,29162,16558168,34294868
202012,60대,충남,22290,82427,16822,28646,20518941,13148126
202012,60대,충북,22685,73437,14257,31382,16479502,10834132
202012,70대이상,강원,25037,62812,13124,24736,14963293,7439752
202012,70대이상,경기,26221,69895,12661,21849,12349591,12607313
202012,70대이상,경남,27417,70348,14722,26379,20211166,5323880
202012,70대이상,경북,26876,84958,13251,33904,9822921,8256441
202012,70대이상,광주,30045,98832,15318,21916,11316701,8014232
202012,70대이상,대구,30513,81669,14961,29000,11443751,5901410
202012,70대이상,대전,27164,51466,16512,23413,6336000,3123333
202012,70대이상,부산,31613,79476,14596,23769,9403635,5669007
202012,70대이상,서울,30480,83758,13474,24375,20923160,10770981
202012,70대이상,세종,23555,32991,12700,29286,8653827,8276911
202012,70대이상,울산,26823,73656,13071,36083,6752565,1932795
202012,70대이상,인천,30813,62730,13550,18651,6791133,6137168
202012,70대이상,전남,29213,85977,17491,25544,10761436,1878064
202012,70대이상,전북,26319,70611,16843,26600,8163835,7332626
202012,70대이상,제주,25405,76062,14103,27259,19018866,27971200
202012,70대이상,충남,26206,78013,15757,28732,12155636,849711
202012,70대이상,충북,24421,64150,16500,25453,15586918,2080324
