"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26350-00059,직녀공원,어린이공원,,부산광역시 해운대구 좌동 1322,35.1711438,129.180535,1793.1,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00060,초록공원,근린공원,,부산광역시 해운대구 반여동 산 110-2,35.2033471,129.1280857,28006,,,,,,2009-12-23,해운대구청 늘푸른과,,2020-12-15
26350-00061,푸른공원,어린이공원,,부산광역시 해운대구 좌동 1349,35.171897,129.1685686,1806.8,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00062,푸른숲공원,어린이공원,부산광역시 해운대구 해운대로81번길 117,"부산광역시 해운대구 재송동 1040-4,6",35.191395,129.1265807,1730.3,,,,,,1994-11-25,해운대구청 늘푸른과,,2020-12-15
26350-00063,한마음공원,어린이공원,,부산광역시 해운대구 반여동 1640,35.2005549,129.1205875,1693.2,,,,,,1999-03-06,해운대구청 늘푸른과,,2020-12-15
26350-00064,한빛공원,어린이공원,,부산광역시 해운대구 재송동 1057-19,35.1884197,129.1246196,1324.2,,,,,,2007-01-17,해운대구청 늘푸른과,,2020-12-15
26350-00065,해바람공원,어린이공원,,부산광역시 해운대구 좌동 1364,35.1711541,129.1642212,1805.6,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00066,해운대공원,근린공원,,부산광역시 해운대구 중동 1411-14,35.1582399,129.1564839,124740,,,,,,1968-10-07,관광관리시설사업소,,2020-12-15
26350-00067,해운대수목원,근린공원,,부산광역시 해운대구 석대동 24,35.2297418,129.1256921,628275,,,,,,2011-02-09,해운대구청 늘푸른과,,2020-12-15
26350-00068,햇살공원,어린이공원,,부산광역시 해운대구 좌동 1293,35.175265,129.174875,5707.9,,,,,,1992-08-06,해운대구청 늘푸른과,,2020-12-15
26350-00069,희망공원,어린이공원,부산광역시 해운대구 재반로226번길 48,부산광역시 해운대구 반여동 1291-2,35.197702,129.1334287,4241,,,,,,1979-10-22,해운대구청 늘푸른과,,2020-12-15
26350-00070,명장공원,근린공원,,부산광역시 해운대구 반여동 산357-3,35.2131974,129.1164778,784618,,,,,,1972-12-30,해운대구청 늘푸른과,,2020-12-15
26350-00071,반송공원,근린공원,,부산광역시 해운대구 반송동 844-2,35.22025918,129.1592057,89840,,,,,,2017-06-21,해운대구청 늘푸른과,,2020-12-15
26350-00072,청사포공원,수변공원,,부산광역시 해운대구 중동 산42-25,35.15849712,129.1841517,304300,,,,,,1986-12-02,관광관리시설사업소,,2020-12-15
26350-00073,대천산림공원,문화공원,,부산광역시 해운대구 좌동 산 78-23,35.18251087,129.1661202,24450,,,,,,2017-10-11,해운대구청 늘푸른과,,2020-12-15
26350-00074,해운대역사 시민공원,문화공원,부산광역시 해운대구 해운대로 621(우동),부산광역시 해운대구 우동 524-1,35.16415448,129.1590633,4631,,,,,,2019-11-13,해운대구청 늘푸른과,,2020-12-15
26350-00075,동백유원지,기타,부산광역시 해운대구 해운대해변로 220(우동),부산광역시 해운대구 우동 1151-15,35.15839307,129.1554582,25060,,,,,,1982-05-24,관광관리시설사업소,,2020-12-15
